,date,fremont_bridge,fremont_bridge_nb,fremont_bridge_sb
0,2023-12-31T23:00:00.000,45,15,30
1,2023-12-31T22:00:00.000,22,12,10
2,2023-12-31T21:00:00.000,20,9,11
3,2023-12-31T20:00:00.000,27,14,13
4,2023-12-31T19:00:00.000,33,14,19
5,2023-12-31T18:00:00.000,34,14,20
6,2023-12-31T17:00:00.000,30,16,14
7,2023-12-31T16:00:00.000,77,30,47
8,2023-12-31T15:00:00.000,133,65,68
9,2023-12-31T14:00:00.000,159,72,87
10,2023-12-31T13:00:00.000,147,70,77
11,2023-12-31T12:00:00.000,155,82,73
12,2023-12-31T11:00:00.000,111,58,53
13,2023-12-31T10:00:00.000,91,39,52
14,2023-12-31T09:00:00.000,73,22,51
15,2023-12-31T08:00:00.000,29,12,17
16,2023-12-31T07:00:00.000,11,6,5
17,2023-12-31T06:00:00.000,3,2,1
18,2023-12-31T05:00:00.000,3,2,1
19,2023-12-31T04:00:00.000,2,2,0
20,2023-12-31T03:00:00.000,1,1,0
21,2023-12-31T02:00:00.000,1,0,1
22,2023-12-31T01:00:00.000,0,0,0
23,2023-12-31T00:00:00.000,3,2,1
24,2023-12-30T23:00:00.000,12,4,8
25,2023-12-30T22:00:00.000,7,3,4
26,2023-12-30T21:00:00.000,17,3,14
27,2023-12-30T20:00:00.000,6,0,6
28,2023-12-30T19:00:00.000,32,12,20
29,2023-12-30T18:00:00.000,24,12,12
30,2023-12-30T17:00:00.000,32,16,16
31,2023-12-30T16:00:00.000,67,33,34
32,2023-12-30T15:00:00.000,60,23,37
33,2023-12-30T14:00:00.000,52,26,26
34,2023-12-30T13:00:00.000,57,36,21
35,2023-12-30T12:00:00.000,34,14,20
36,2023-12-30T11:00:00.000,28,15,13
37,2023-12-30T10:00:00.000,28,15,13
38,2023-12-30T09:00:00.000,31,9,22
39,2023-12-30T08:00:00.000,33,10,23
40,2023-12-30T07:00:00.000,12,2,10
41,2023-12-30T06:00:00.000,12,3,9
42,2023-12-30T05:00:00.000,3,2,1
43,2023-12-30T04:00:00.000,1,1,0
44,2023-12-30T03:00:00.000,2,0,2
45,2023-12-30T02:00:00.000,10,1,9
46,2023-12-30T01:00:00.000,7,5,2
47,2023-12-30T00:00:00.000,10,5,5
48,2023-12-29T23:00:00.000,13,9,4
49,2023-12-29T22:00:00.000,33,10,23
50,2023-12-29T21:00:00.000,16,5,11
51,2023-12-29T20:00:00.000,33,15,18
52,2023-12-29T19:00:00.000,43,21,22
53,2023-12-29T18:00:00.000,74,31,43
54,2023-12-29T17:00:00.000,81,25,56
55,2023-12-29T16:00:00.000,113,39,74
56,2023-12-29T15:00:00.000,142,52,90
57,2023-12-29T14:00:00.000,102,51,51
58,2023-12-29T13:00:00.000,100,50,50
59,2023-12-29T12:00:00.000,111,46,65
60,2023-12-29T11:00:00.000,76,33,43
61,2023-12-29T10:00:00.000,65,30,35
62,2023-12-29T09:00:00.000,56,22,34
63,2023-12-29T08:00:00.000,55,19,36
64,2023-12-29T07:00:00.000,44,11,33
65,2023-12-29T06:00:00.000,24,8,16
66,2023-12-29T05:00:00.000,9,1,8
67,2023-12-29T04:00:00.000,3,2,1
68,2023-12-29T03:00:00.000,0,0,0
69,2023-12-29T02:00:00.000,2,1,1
70,2023-12-29T01:00:00.000,2,0,2
71,2023-12-29T00:00:00.000,5,1,4
72,2023-12-28T23:00:00.000,13,6,7
73,2023-12-28T22:00:00.000,13,7,6
74,2023-12-28T21:00:00.000,25,14,11
75,2023-12-28T20:00:00.000,12,6,6
76,2023-12-28T19:00:00.000,32,8,24
77,2023-12-28T18:00:00.000,51,23,28
78,2023-12-28T17:00:00.000,84,22,62
79,2023-12-28T16:00:00.000,98,28,70
80,2023-12-28T15:00:00.000,92,37,55
81,2023-12-28T14:00:00.000,74,27,47
82,2023-12-28T13:00:00.000,68,32,36
83,2023-12-28T12:00:00.000,69,30,39
84,2023-12-28T11:00:00.000,45,25,20
85,2023-12-28T10:00:00.000,39,11,28
86,2023-12-28T09:00:00.000,52,12,40
87,2023-12-28T08:00:00.000,74,21,53
88,2023-12-28T07:00:00.000,60,27,33
89,2023-12-28T06:00:00.000,38,10,28
90,2023-12-28T05:00:00.000,12,3,9
91,2023-12-28T04:00:00.000,2,1,1
92,2023-12-28T03:00:00.000,1,1,0
93,2023-12-28T02:00:00.000,0,0,0
94,2023-12-28T01:00:00.000,3,0,3
95,2023-12-28T00:00:00.000,5,1,4
96,2023-12-27T23:00:00.000,7,3,4
97,2023-12-27T22:00:00.000,11,6,5
98,2023-12-27T21:00:00.000,17,10,7
99,2023-12-27T20:00:00.000,11,2,9
100,2023-12-27T19:00:00.000,25,11,14
101,2023-12-27T18:00:00.000,41,10,31
102,2023-12-27T17:00:00.000,84,27,57
103,2023-12-27T16:00:00.000,73,28,45
104,2023-12-27T15:00:00.000,70,29,41
105,2023-12-27T14:00:00.000,54,18,36
106,2023-12-27T13:00:00.000,38,13,25
107,2023-12-27T12:00:00.000,37,11,26
108,2023-12-27T11:00:00.000,40,19,21
109,2023-12-27T10:00:00.000,40,13,27
110,2023-12-27T09:00:00.000,75,24,51
111,2023-12-27T08:00:00.000,71,19,52
112,2023-12-27T07:00:00.000,57,26,31
113,2023-12-27T06:00:00.000,24,6,18
114,2023-12-27T05:00:00.000,9,2,7
115,2023-12-27T04:00:00.000,1,0,1
116,2023-12-27T03:00:00.000,2,2,0
117,2023-12-27T02:00:00.000,0,0,0
118,2023-12-27T01:00:00.000,5,2,3
119,2023-12-27T00:00:00.000,4,2,2
120,2023-12-26T23:00:00.000,4,2,2
121,2023-12-26T22:00:00.000,7,4,3
122,2023-12-26T21:00:00.000,15,5,10
123,2023-12-26T20:00:00.000,15,5,10
124,2023-12-26T19:00:00.000,33,10,23
125,2023-12-26T18:00:00.000,52,17,35
126,2023-12-26T17:00:00.000,77,28,49
127,2023-12-26T16:00:00.000,109,38,71
128,2023-12-26T15:00:00.000,107,50,57
129,2023-12-26T14:00:00.000,110,43,67
130,2023-12-26T13:00:00.000,110,61,49
131,2023-12-26T12:00:00.000,94,46,48
132,2023-12-26T11:00:00.000,73,39,34
133,2023-12-26T10:00:00.000,51,17,34
134,2023-12-26T09:00:00.000,55,19,36
135,2023-12-26T08:00:00.000,54,14,40
136,2023-12-26T07:00:00.000,35,15,20
137,2023-12-26T06:00:00.000,20,4,16
138,2023-12-26T05:00:00.000,9,3,6
139,2023-12-26T04:00:00.000,1,0,1
140,2023-12-26T03:00:00.000,2,2,0
141,2023-12-26T02:00:00.000,0,0,0
142,2023-12-26T01:00:00.000,0,0,0
143,2023-12-26T00:00:00.000,1,0,1
144,2023-12-25T23:00:00.000,2,0,2
145,2023-12-25T22:00:00.000,2,1,1
146,2023-12-25T21:00:00.000,4,3,1
147,2023-12-25T20:00:00.000,2,0,2
148,2023-12-25T19:00:00.000,1,0,1
149,2023-12-25T18:00:00.000,3,1,2
150,2023-12-25T17:00:00.000,6,4,2
151,2023-12-25T16:00:00.000,3,3,0
152,2023-12-25T15:00:00.000,13,6,7
153,2023-12-25T14:00:00.000,12,3,9
154,2023-12-25T13:00:00.000,6,5,1
155,2023-12-25T12:00:00.000,4,2,2
156,2023-12-25T11:00:00.000,6,4,2
157,2023-12-25T10:00:00.000,9,4,5
158,2023-12-25T09:00:00.000,7,3,4
159,2023-12-25T08:00:00.000,5,2,3
160,2023-12-25T07:00:00.000,6,2,4
161,2023-12-25T06:00:00.000,3,0,3
162,2023-12-25T05:00:00.000,3,0,3
163,2023-12-25T04:00:00.000,1,1,0
164,2023-12-25T03:00:00.000,0,0,0
165,2023-12-25T02:00:00.000,0,0,0
166,2023-12-25T01:00:00.000,3,1,2
167,2023-12-25T00:00:00.000,4,1,3
168,2023-12-24T23:00:00.000,4,1,3
169,2023-12-24T22:00:00.000,9,2,7
170,2023-12-24T21:00:00.000,1,0,1
171,2023-12-24T20:00:00.000,6,5,1
172,2023-12-24T19:00:00.000,8,6,2
173,2023-12-24T18:00:00.000,18,5,13
174,2023-12-24T17:00:00.000,12,7,5
175,2023-12-24T16:00:00.000,35,14,21
176,2023-12-24T15:00:00.000,40,19,21
177,2023-12-24T14:00:00.000,42,21,21
178,2023-12-24T13:00:00.000,60,31,29
